WFA 
N.B: Wdir (wave heading TOWARDS)= N=0deg E=270 deg S= 180 deg W=90deg  

(TOWARDS, +CCW)Wind Heading:  -15 to 15 deg

0-2 (m/s),0.530411,0.530411, 
2-4 (m/s),1.314970,1.314970, 
4-6 (m/s),1.731076,1.731076, 
6-8 (m/s),1.846315,1.846315, 
8-10 (m/s),1.769074,1.769074, 
10-12 (m/s),1.420554,1.420554, 
12-14 (m/s),1.161110,1.161110, 
14-16 (m/s),0.822868,0.822868, 
16-18 (m/s),0.558130,0.558130, 
18-20 (m/s),0.326407,0.326407, 
20-22 (m/s),0.152925,0.152925, 
22-24 (m/s),0.064160,0.064160, 
24-26 (m/s),0.014327,0.014327, 
26-28 (m/s),0.008098,0.008098, 
28 +,0.000000,0.000000, 
Sum, 11.720424,11.720424, 

(TOWARDS, +CCW)Wind Heading:  15 to 45 deg

0-2 (m/s),0.821000,0.821000, 
2-4 (m/s),1.593101,1.593101, 
4-6 (m/s),1.956259,1.956259, 
6-8 (m/s),1.508696,1.508696, 
8-10 (m/s),0.854637,0.854637, 
10-12 (m/s),0.454104,0.454104, 
12-14 (m/s),0.268787,0.268787, 
14-16 (m/s),0.114616,0.114616, 
16-18 (m/s),0.071012,0.071012, 
18-20 (m/s),0.025851,0.025851, 
20-22 (m/s),0.013081,0.013081, 
22-24 (m/s),0.004672,0.004672, 
24-26 (m/s),0.000000,0.000000, 
26-28 (m/s),0.000311,0.000311, 
28 +,0.000000,0.000000, 
Sum, 7.686126,7.686126, 

(TOWARDS, +CCW)Wind Heading:  45 to 75 deg

0-2 (m/s),0.584604,0.584604, 
2-4 (m/s),1.237729,1.237729, 
4-6 (m/s),1.248007,1.248007, 
6-8 (m/s),0.709187,0.709187, 
8-10 (m/s),0.292146,0.292146, 
10-12 (m/s),0.089700,0.089700, 
12-14 (m/s),0.023048,0.023048, 
14-16 (m/s),0.005295,0.005295, 
16-18 (m/s),0.001246,0.001246, 
18-20 (m/s),0.000000,0.000000, 
20-22 (m/s),0.000311,0.000311, 
22-24 (m/s),0.000000,0.000000, 
24-26 (m/s),0.000000,0.000000, 
26-28 (m/s),0.000000,0.000000, 
28 +,0.000000,0.000000, 
Sum, 4.191272,4.191272, 

(TOWARDS, +CCW)Wind Heading:  75 to 105 deg

0-2 (m/s),0.208053,0.208053, 
2-4 (m/s),0.732235,0.732235, 
4-6 (m/s),0.885160,0.885160, 
6-8 (m/s),0.465628,0.465628, 
8-10 (m/s),0.217085,0.217085, 
10-12 (m/s),0.037686,0.037686, 
12-14 (m/s),0.005295,0.005295, 
14-16 (m/s),0.000934,0.000934, 
16-18 (m/s),0.000000,0.000000, 
18-20 (m/s),0.000000,0.000000, 
20-22 (m/s),0.000000,0.000000, 
22-24 (m/s),0.000000,0.000000, 
24-26 (m/s),0.000000,0.000000, 
26-28 (m/s),0.000000,0.000000, 
28 +,0.000000,0.000000, 
Sum, 2.552076,2.552076, 

(TOWARDS, +CCW)Wind Heading:  105 to 135 deg

0-2 (m/s),0.243559,0.243559, 
2-4 (m/s),0.721022,0.721022, 
4-6 (m/s),1.005693,1.005693, 
6-8 (m/s),0.759643,0.759643, 
8-10 (m/s),0.660599,0.660599, 
10-12 (m/s),0.477463,0.477463, 
12-14 (m/s),0.268476,0.268476, 
14-16 (m/s),0.100912,0.100912, 
16-18 (m/s),0.023048,0.023048, 
18-20 (m/s),0.001557,0.001557, 
20-22 (m/s),0.000000,0.000000, 
22-24 (m/s),0.000000,0.000000, 
24-26 (m/s),0.000000,0.000000, 
26-28 (m/s),0.000000,0.000000, 
28 +,0.000000,0.000000, 
